volume,kernel,scale,relative_energy
total_phase,b3spline,1,0.11327735694672494
total_phase,b3spline,2,0.0692027766636762
total_phase,b3spline,3,0.13757051820582294
total_phase,b3spline,4,0.2901995579844527
total_phase,b3spline,5,0.38974979019932326
total_phase,binomial3,1,0.09400585617210191
total_phase,binomial3,2,0.059466209386570906
total_phase,binomial3,3,0.11428237643740895
total_phase,binomial3,4,0.2541906322785777
total_phase,binomial3,5,0.47805492572534053
true_local,b3spline,1,0.49315051774152613
true_local,b3spline,2,0.17139800166404667
true_local,b3spline,3,0.14891218162903133
true_local,b3spline,4,0.10900407372950888
true_local,b3spline,5,0.07753522523588699
true_local,binomial3,1,0.40170809349623315
true_local,binomial3,2,0.16374489889889018
true_local,binomial3,3,0.18055556980955703
true_local,binomial3,4,0.14326969892892
true_local,binomial3,5,0.11072173886639959
vsharp_local,b3spline,1,0.5419357822245435
vsharp_local,b3spline,2,0.19830093220333914
vsharp_local,b3spline,3,0.1561888642588828
vsharp_local,b3spline,4,0.07695754362257208
vsharp_local,b3spline,5,0.026616877690662382
vsharp_local,binomial3,1,0.43270993650222467
vsharp_local,binomial3,2,0.18741043191927187
vsharp_local,binomial3,3,0.19995843111829492
vsharp_local,binomial3,4,0.12780104556640814
vsharp_local,binomial3,5,0.05212015489380053
